,Entry,CHW Flowrate,CHWRT,CHWST,Chilled Water Request,OA Humidity,OA Temperature,Apparent Power,3rd Floor AHU-1|SA Airflow,3rd Floor AHU-2|SA Airflow,3rd Floor AHU-3|SA Airflow,3rd Floor AHU-7|SA Airflow,3rd Floor AHU-8|SA Airflow,Level 2 AHU-4|SA Airflow,Level 2 AHU-5|SA Airflow,Roof AHU-10|SA Airflow,Roof AHU-11|SA Airflow,Roof AHU-12|SA Airflow,Roof AHU-9|SA Airflow,3rd Floor AHU-1|RA Humidity,3rd Floor AHU-2|RA Humidity,3rd Floor AHU-3|RA Humidity,3rd Floor AHU-7|RA Humidity,3rd Floor AHU-8|RA Humidity,Level 2 AHU-4|RA Humidity,Level 2 AHU-5|RA Humidity,Roof AHU-10|RA Humidity,Roof AHU-11|RA Humidity,Roof AHU-12|RA Humidity,Roof AHU-9|RA Humidity,Run Time
0,0,79.96993256,53.28289413,46.40000153,1,90.51999664,72.29199982,413680,1532.060059,0,1640.346558,1679.903198,10463.95605,2791.2854,0,6962.660645,10617.38086,7354.061035,6016.687988,44.68580246,45.63212967,46.36000061,48.87660217,53.63525772,56.80916977,76.4445343,55.45072174,53.86707306,53.04394913,54.18817902,1
1,1,144.692215,53.38293457,46.40000153,1,90.50807953,72.29199982,404159,1561.681641,0,1603.631104,1666.561646,10488.05664,2775.653809,0,7142.070313,10589.62891,7443.526855,5974.639648,44.72885132,45.56287003,46.35165787,48.9851532,53.63337326,57.09251785,76.41925812,55.56837082,53.88024902,52.59951019,54.19309235,2
2,2,11.87167835,53.40000153,46.23420334,1,90.49007416,72.31030273,408172,1597.395996,0,1556.358643,1646.811768,10506.84668,2723.311035,0,7275.148438,10535.46191,7771.230469,5937.387695,44.76685715,45.45883942,46.33365631,48.10096359,53.63937759,58.62501144,76.40126038,55.1884079,53.90024948,51.95347214,54.21709061,3
3,3,75.67665863,53.48276138,46.28276062,1,90.47207642,72.33189392,412268,1633.110474,0,1509.08606,1627.062012,10525.63672,2670.968262,0,7408.226074,10481.2959,8098.93457,5900.135742,44.80486298,45.35481262,46.31565475,47.2167778,53.64537811,60.15750122,76.383255,54.80844116,53.92025375,51.30743027,54.24109268,4
4,4,40.21101379,53.5,46.21707153,1,90.45407104,72.35348511,416364,1668.824951,0,1461.813477,1607.312256,10544.42676,2618.625488,0,7541.303711,10427.12891,8426.638672,5862.883789,44.84286499,45.25078583,46.29765701,46.3325882,53.65138245,61.689991,76.36524963,54.42847824,53.94025421,50.66139221,54.26509094,5
5,5,4.243384361,53.5,46.11719894,0,90.43606567,72.37507629,420461,1704.539429,0,1414.540894,1587.562378,10563.21777,2566.282715,0,7674.381348,10372.96191,8754.341797,5825.631348,44.88087082,45.14675903,46.27965546,45.44839859,53.65738678,63.22248077,76.34724426,54.04851151,53.96025467,50.01535416,54.28909302,0
6,6,0.026934694,53.5,46.09999847,0,90.43000031,72.39667511,389908,1710.640015,0,1397.97522,1594.144775,10585.17969,2501.366699,0,7898.077148,10344.19434,8999.893555,5791.621582,44.89702225,45.02335358,46.27000046,45.45777512,53.67015839,64.05569458,76.33641052,54.12231445,53.98537827,50.11078262,54.29999924,0
7,7,0,53.5,46.18289948,0,90.43000031,72.40000153,391685,1710.640015,0,1389.296875,1609.706909,10609.58984,2432.905518,0,8280.266602,10363.58203,9077.246094,5762.88623,44.89102173,44.88936615,46.27000046,46.73352051,53.6881485,64.02368927,76.33041382,54.59822083,54.01537323,50.95848465,54.29999924,0
8,8,5.474424362,53.41708374,46.20000076,0,90.43000031,72.40000153,390459,1710.640015,0,1380.61853,1625.269043,10634,2364.444092,0,8662.455078,10382.96973,9154.598633,5734.150879,44.88502121,44.75537872,46.27000046,48.0092659,53.70614243,63.99168777,76.32441711,55.0741272,54.04536438,51.80618286,54.29999924,0
9,9,10.97442436,53.40000153,46.11718369,1,90.43000031,72.40000153,389208,1710.640015,0,1371.940186,1640.831177,10658.40918,2295.98291,0,9044.644531,10402.35645,9231.952148,5705.415527,44.87902069,44.6213913,46.27000046,49.28501129,53.72413635,63.95968246,76.31841278,55.55002975,54.07535553,52.65388489,54.29999924,1
10,10,14.9669857,53.40000153,46.09999847,1,90.43000031,72.40000153,390094,1710.640015,0,1363.261841,1656.393311,10682.81934,2227.521484,0,9426.833008,10421.74414,9309.304688,5676.680176,44.87302017,44.48740387,46.27000046,50.56075668,53.74212646,63.92768097,76.31241608,56.02593613,54.10534668,53.50158691,54.29999924,2
11,11,26.93501091,53.40000153,46.18287659,1,90.4458847,72.40000153,390995,1708.384277,0,1363.571655,1651.806763,10700.63379,2004.322144,0,9708.744141,10445.87305,9229.586914,5698.798828,44.88786316,44.49943924,46.27000046,51.00215912,53.76687622,63.67552948,76.28851318,56.09231186,54.1169281,53.8429184,54.30654907,3
12,12,98.4254837,53.40000153,46.36566544,1,90.46988678,72.38240051,392488,1705.664917,0,1366.171021,1640.35083,10713.31641,1737.626953,0,9815.493164,10478.91992,8829.495117,5803.818359,44.9238472,44.59142685,46.27000046,50.25623322,53.79688263,63.15160751,76.2525177,55.79432297,54.11092758,53.66686249,54.3185463,4
13,13,160.6643219,53.40000153,46.40000153,1,90.49388885,72.36161041,390044,1702.945435,0,1368.770386,1628.89502,10725.99902,1470.931763,0,9922.243164,10511.9668,8429.404297,5908.837891,44.95983505,44.68341064,46.27000046,49.51030731,53.82688904,62.62768555,76.21652222,55.49633789,54.10492706,53.49080658,54.33054733,5
14,14,217.5973969,53.48280334,46.3585968,1,90.5178833,72.34082031,387568,1700.225952,0,1371.369629,1617.439087,10738.68164,1204.236572,0,10028.99316,10545.0127,8029.312988,6013.857422,44.99581909,44.77539825,46.27000046,48.76438141,53.85689926,62.10376358,76.18052673,55.19835281,54.09892654,53.31475067,54.34254456,6
15,15,274.5020752,53.58275223,46.30862427,1,90.54188538,72.32002258,385092,1697.50647,0,1373.968994,1605.983276,10751.36426,937.5413818,0,10135.74219,10578.05957,7629.22168,6118.877441,45.03180313,44.86738586,46.27000046,48.01845551,53.88690567,61.57984161,76.14453125,54.90036392,54.09292603,53.13869476,54.35454559,7
16,16,12.69800472,53.51690674,46.05072784,1,90.55000305,72.29923248,382616,1695.528564,0,1371.911011,1595.341187,10758.83887,848.4155884,0,10136.64941,10610.93848,7492.856445,6112.752441,45.0766983,44.83673859,46.27000046,47.94528961,53.90338135,62.09515381,76.05723572,55.11230087,54.09000015,52.79787445,54.36981964,8
17,17,75.94332886,53.33415222,46,1,90.55000305,72.29599762,385713,1693.704224,0,1368.657593,1584.975342,10762.2793,809.5634155,0,9950.626953,10643.49805,7894.974121,5923.661133,45.13069916,44.73872375,46.27000046,48.83148575,53.90938187,63.8972702,75.93521881,55.77833939,54.09000015,52.28976059,54.3878212,9
18,18,141.306076,53.21692657,46,1,90.55000305,72.29599762,388846,1691.879761,0,1365.404053,1574.609497,10765.71875,770.7112427,0,9764.603516,10676.05859,8297.091797,5734.569824,45.18470383,44.64070511,46.27000046,49.71767807,53.91538239,65.6993866,75.81319427,56.44438171,54.09000015,51.78165054,54.40582275,10
19,19,206.6688232,53.20000076,46,1,90.55000305,72.29599762,391978,1690.05542,0,1362.150513,1564.243774,10769.15918,731.8590698,0,9578.580078,10708.61914,8699.208984,5545.478516,45.2387085,44.54269028,46.27000046,50.60387421,53.9213829,67.50149536,75.69117737,57.11042023,54.09000015,51.27353668,54.42382813,11
20,20,55.24565125,53.11722565,45.9172287,1,90.55000305,72.29599762,382001,1688.230957,0,1358.896973,1553.87793,10772.59961,693.006897,0,9392.556641,10741.17871,9101.327148,5356.387207,45.29270935,44.44467163,46.27000046,51.49006653,53.92738342,69.30361176,75.56915283,57.77646255,54.09000015,50.76542664,54.44182968,12
21,21,101.0204163,53.1827774,45.90000153,1,90.5460434,72.29599762,380016,1691.689087,0,1362.609741,1558.084229,10757.81934,716.4775391,0,9278.109375,10856.3623,9194.113281,5250.865234,45.30218887,44.42550659,46.25888062,51.53798294,53.93000031,69.75660706,75.45075226,56.95551682,54.06744003,51.10256577,54.46092224,13
22,22,148.428009,53.20000076,45.90000153,1,90.54003906,72.3117218,386052,1696.232422,0,1368.119019,1567.290161,10728.94531,757.6700439,0,9289.90918,11128.28027,8657.629883,5281.848145,45.26618195,44.44949722,46.23488235,50.39591217,53.93000031,68.54123688,75.33478546,54.81194305,54.02342987,52.29413986,54.48092651,14
23,23,195.8355865,53.20000076,45.90000153,1,90.53403473,72.3303299,386100,1700.775757,0,1373.628174,1576.495972,10700.07031,798.8625488,0,9301.708008,11400.19922,8121.146484,5312.831055,45.23017502,44.47349167,46.21088791,49.25384521,53.93000031,67.3258667,75.21882629,52.66837311,53.97941971,53.48571014,54.50092697,15
24,24,243.2431793,53.20000076,46.06585312,1,90.5280304,72.34894562,384909,1705.319092,0,1379.137451,1585.701904,10671.19629,840.0550537,0,9313.507813,11672.11816,7584.663086,5343.813477,45.19417191,44.4974823,46.18688965,48.11177826,53.93000031,66.11049652,75.1028595,50.52479935,53.93540955,54.67728043,54.52092743,16
25,25,290.6507568,53.36578751,46.26578522,1,90.52203369,72.36755371,388368,1709.862305,0,1384.646606,1594.907837,10642.32227,881.2476196,0,9325.307617,11944.03711,7048.179688,5374.796387,45.15816498,44.52147293,46.1628952,46.96970749,53.93000031,64.89511871,74.98690033,48.3812294,53.89139938,55.86885452,54.54092789,17
26,26,194.6974487,53.40000153,46.38292694,1,90.51999664,72.3861618,389790,1707.630371,0,1385.77002,1607.084595,10747.62402,864.5010376,0,9342.685547,12139.90332,6889.311523,5432.236816,45.13108063,44.55838013,46.14167023,46.87803268,53.93788147,64.67092896,74.94000244,48.02848053,53.85767365,55.90410614,54.54999924,18
27,27,97.6802063,53.40000153,46.40000153,1,90.51999664,72.39052582,396646,1703.999146,0,1385.77002,1620.269409,10957.13672,831.3571167,0,9369.947266,12192.18652,7503.918457,5532.691895,45.11307907,44.60240173,46.12366867,48.27560043,53.95188141,65.68536377,74.94000244,49.27500916,53.83368301,54.762043,54.54999924,19
28,28,0.662957132,53.40000153,46.40000153,0,90.51999664,72.39232635,393721,1700.368042,0,1385.77002,1633.454224,11166.64941,798.2131958,0,9397.208984,12244.46973,8118.525391,5633.146973,45.09507751,44.64642334,46.10567093,49.67316818,53.96588135,66.69979095,74.94000244,50.5215416,53.80968857,53.61997604,54.54999924,0
29,29,1.325157046,53.40000153,46.23397446,0,90.51999664,72.39412689,389825,1696.736816,0,1385.77002,1646.639038,11376.16211,765.0692749,0,9424.470703,12296.75293,8733.131836,5733.602539,45.07707596,44.69044495,46.08766937,51.07073593,53.97988129,67.71421814,74.94000244,51.76807404,53.78569794,52.4779129,54.54999924,0
30,30,2.659431934,53.40000153,46.20000076,0,90.51999664,72.39592743,390065,1693.105713,0,1385.77002,1659.823853,11585.6748,731.925354,0,9451.732422,12349.03613,9347.739258,5834.057617,45.0590744,44.73446655,46.06966782,52.46829987,53.99388504,68.72865295,74.94000244,53.01460648,53.76170349,51.33584595,54.54999924,0
31,31,3.993706465,53.40000153,46.28293228,0,90.53187561,72.39772797,390331,1695.502686,0,1386.02478,1651.560181,11692.61133,680.6102295,0,9375.827148,12328.71875,9666.850586,5885.686523,45.05595016,44.72929001,46.04240417,53.17214584,53.98197556,68.4878006,74.95072937,53.8302002,53.75,51.16854858,54.53906631,0
32,32,40.81147003,53.40000153,46.29999924,1,90.54988861,72.39800262,390598,1699.130493,0,1386.344849,1636.030762,11719.97754,624.1306152,0,9118.831055,12171.50879,9381.473633,5857.415039,45.0679512,44.69728851,46.00439835,52.88612747,53.94997025,66.69168091,74.96872711,54.26422501,53.75,51.99259949,54.51907349,1
33,33,77.7973938,53.31712341,46.13424301,1,90.56789398,72.39800262,391097,1702.758179,0,1386.664917,1620.501465,11747.34277,567.6509399,0,8861.834961,12014.29883,9096.09668,5829.143066,45.07995224,44.66528702,45.96639252,52.6001091,53.91796112,64.89556885,74.98673248,54.69824982,53.75,52.81665039,54.49908066,2
34,34,114.7833176,53.29999924,46.1830368,1,90.58589935,72.39800262,387228,1706.385986,0,1386.984863,1604.972046,11774.70898,511.1712646,0,8604.838867,11857.08887,8810.719727,5800.871094,45.09195328,44.63328552,45.9283905,52.31409073,53.88595581,63.09945679,75.00473022,55.13227844,53.75,53.64069748,54.47908783,3
35,35,151.7692413,53.38281631,46.20000076,1,90.60391235,72.39800262,383332,1710.013794,0,1387.304932,1589.442749,11802.0752,454.6915894,0,8347.84375,11699.87891,8525.342773,5772.599609,45.10395432,44.60128403,45.89038467,52.02806854,53.85394669,61.30334091,75.02272797,55.56630325,53.75,54.46474838,54.459095,4
36,36,188.7551727,53.40000153,46.28278351,1,90.61000061,72.39800262,384044,1678.978149,0,1392.668213,1589.844238,11790.76367,509.9011536,0,8127.738281,11614.52734,8432.428711,5745.29248,45.15267563,44.57835007,45.87277985,51.74122238,53.82984161,61.07945633,74.97871399,55.90900421,53.74076843,54.37691879,54.467453,5
37,37,225.7410889,53.31710434,46.29999924,1,90.61000061,72.39292145,384795,1640.709961,0,1399.318604,1595.685181,11749.58105,596.6098022,0,7972.81543,11664.47949,8732.700195,5719.562988,45.23869324,44.56035614,45.87878036,51.45318604,53.81184387,62.80102539,74.89269257,56.17093658,53.72276688,53.36280441,54.49945831,6
38,38,282.6453857,53.34145355,46.38290787,1,90.61000061,72.38692474,386288,1602.441772,0,1405.968994,1601.526123,11708.39844,683.3184204,0,7817.89209,11714.43164,9032.97168,5693.833496,45.32471085,44.54236221,45.88478088,51.1651535,53.79384232,64.52259064,74.80667877,56.43287277,53.70476151,52.34869385,54.53146744,7
39,39,336.7063599,53.39144897,46.48289871,1,90.61000061,72.38092804,386697,1564.173584,0,1412.619385,1607.367065,11667.21582,770.0270386,0,7662.969238,11764.38477,9333.242188,5668.104004,45.41073227,44.52436829,45.89078522,50.87712097,53.77584076,66.24416351,74.72065735,56.69480515,53.68675995,51.33458328,54.56347275,8
40,40,169.3261108,53.40000153,46.5,1,90.61000061,72.37492371,387361,1525.905396,0,1419.269775,1613.208008,11626.03418,856.7356567,0,7508.046387,11814.33691,9633.513672,5642.374512,45.49674988,44.50637054,45.89678574,50.58908844,53.7578392,67.96572876,74.63463593,56.95674133,53.66875839,50.32047272,54.59548187,9
41,41,0.736200273,53.40000153,46.5,0,90.59409332,72.368927,388028,1518.986694,0,1425.063843,1614.258545,11549.71875,861.2294922,0,7465.291992,11839.4834,9797.765625,5748.80957,45.51812744,44.38629532,45.90000153,50.38695908,53.75338745,68.94763947,74.59283447,56.94128799,53.65075684,50.26775742,54.62311172,0
42,42,3.976303577,53.3585701,46.41713715,0,90.57009888,72.36799622,388694,1518.476807,0,1430.639893,1613.680542,11446.30078,842.6133423,0,7620.255859,11817.76563,9685.501953,6070.242676,45.47412872,44.21024704,45.90000153,50.30695724,53.75938416,69.00966644,74.58083344,56.6792717,53.63275528,51.18947601,54.64710999,0
43,43,7.477494717,53.30857468,46.31715012,0,90.54610443,72.36799622,382548,1517.966919,0,1436.215942,1613.102417,11342.88281,823.9971924,0,7775.219727,11796.04688,9573.239258,6391.67627,45.43013,44.03419876,45.90000153,50.2269516,53.76538086,69.07169342,74.5688324,56.4172554,53.61475754,52.11119843,54.67110825,0
44,44,10.9757452,53.29999924,46.13417435,0,90.52210999,72.36799622,385819,1517.456909,0,1441.791992,1612.524414,11239.46484,805.3810425,0,7930.183105,11774.3291,9460.975586,6713.109375,45.38613129,43.8581543,45.90000153,50.14694595,53.77137756,69.13371277,74.55683136,56.15523911,53.5967598,53.03291702,54.69510651,0
45,45,8.025460243,53.46563721,46.26563644,0,90.49811554,72.36799622,389165,1516.947021,0,1447.36792,1611.946411,11136.04688,786.7648926,0,8085.146973,11752.61133,9348.712891,7034.54248,45.34213257,43.68210602,45.90000153,50.06694412,53.77737427,69.19573975,74.54483795,55.89322281,53.57875824,53.95463562,54.71910858,0
46,46,8,53.5,46.29999924,0,90.49992371,72.36799622,409845,1523.115601,0,1447.274536,1625.477905,11078.18652,730.5239258,0,8164.718262,11730.27637,9267.572266,7216.735352,45.34185791,43.62388229,45.8972168,50.27292252,53.77662277,69.25416565,74.53283691,55.92464447,53.56383896,54.02388,54.71689224,0
47,47,22.92345428,53.54151154,46.34151077,1,90.51493073,72.37680817,417945,1530.65918,0,1445.736938,1643.792358,11055.76367,663.5965576,0,8112.464355,11706.77441,9249.839844,7170.455566,45.38584518,43.62988281,45.89122009,50.88496017,53.77062225,69.30815887,74.52084351,56.21658707,53.55184174,53.22383499,54.69289017,1
48,48,11.56617928,53.5914917,46.39149475,1,90.52993011,72.38720703,409711,1538.202759,0,1444.199341,1662.106934,11033.33984,596.6691895,0,8060.210449,11683.27148,9232.108398,7124.17627,45.42983246,43.63587952,45.88521957,51.49699402,53.76462173,69.3621521,74.50884247,56.50852585,53.53984451,52.42378616,54.66888809,2
49,49,0.07374499,53.59999847,46.48282623,1,90.5449295,72.3976059,401364,1545.746216,0,1442.661743,1680.421387,11010.91602,529.7418213,0,8007.956055,11659.76953,9214.375977,7077.896484,45.47381973,43.64188004,45.87921906,52.10902786,53.75862122,69.4161377,74.49684906,56.80046844,53.52784729,51.62373734,54.64488983,3
50,50,14.15867805,53.59999847,46.58283997,1,90.55992889,72.40801239,393017,1553.289795,0,1441.124146,1698.73584,10988.49219,462.8144226,0,7955.702148,11636.2666,9196.643555,7031.617188,45.51780701,43.64788055,45.87321854,52.72106552,53.7526207,69.47013092,74.48484802,57.09240723,53.51585007,50.82368851,54.62088776,4
51,51,28.40879631,53.68291473,43.69797516,1,90.57493591,72.41841125,384671,1596.50647,0,1475.076904,1714.798828,10959.52148,486.6322937,0,7902.800293,11606.04883,9244.486328,6999.916504,45.50334167,43.64612198,45.86444092,53.26932144,53.7635231,68.97123718,74.47285461,57.11365891,53.49770355,50.72615051,54.60344315,5
52,52,42.65891647,53.53414536,43.18292999,1,90.5899353,72.41999817,384253,1647.014038,0,1518.13916,1730.09021,10925.47363,536.1395264,0,7848.762207,11563.14648,9425.586914,6992.054688,45.42934418,43.64012146,45.85243607,53.7271347,53.78752518,67.78784943,74.46085358,56.89361191,53.47370911,51.34412384,54.59144592,6
53,53,56.90903473,53.3343544,43.36564636,1,90.60493469,72.41999817,383902,1697.521729,0,1561.201416,1745.381592,10891.42676,585.6467896,0,7794.724121,11520.24316,9606.686523,6984.193359,45.35534668,43.63412094,45.84043503,54.18494415,53.81153107,66.60445404,74.44885254,56.67356491,53.44971085,51.96209717,54.57944489,7
54,54,34.16147614,52.80305862,43.40000153,1,90.61993408,72.41999817,385487,1748.029297,0,1604.263672,1760.672974,10857.37891,635.1540527,0,7740.686523,11477.34082,9787.787109,6976.331543,45.28134918,43.62812042,45.82843399,54.64275742,53.83553696,65.42106628,74.4368515,56.45351791,53.4257164,52.5800705,54.56744385,8
55,55,11.1762228,52.28575516,43.31715012,1,90.6349411,72.41999817,387085,1798.536987,0,1647.325928,1775.964355,10823.33203,684.6613159,0,7686.648438,11434.43848,9968.887695,6968.469727,45.20735168,43.6221199,45.81643295,55.10057068,53.85954285,64.2376709,74.42485046,56.23347092,53.40171814,53.19804382,54.55544662,9
56,56,64.61458588,52.11710358,45.45529938,1,90.63999939,72.41999817,403978,2071.340332,0,1660.146729,1744.45752,10804.61719,629.0250244,0,7715.317871,11392.38574,10037.74023,6955.538086,45.26409149,43.6587677,45.80443192,54.95026016,53.86322784,63.69373703,74.43071747,55.19257355,53.35826874,53.43373871,54.5598259,10
57,57,0.345141888,52.1829071,45.8170929,1,90.63999939,72.40171051,393483,2390.229248,0,1665.206787,1696.897461,10797.7373,543.5858154,0,7889.544434,11351.95313,9878.269531,6934.354004,45.45410538,43.71875,45.79243469,53.93019485,53.85122681,63.94975281,74.44871521,53.42311478,53.29624557,53.27973557,54.57781982,11
58,58,34.33058929,52.36573029,45.75856781,1,90.63999939,72.38011169,382790,2709.118164,0,1670.266724,1649.33728,10790.85645,458.1466675,0,8063.770508,11311.51953,9718.797852,6913.169922,45.64411545,43.77873611,45.78044128,52.91012955,53.83922577,64.20576477,74.46671295,51.65365601,53.23422241,53.12573624,54.59581375,12
59,59,68.84410858,52.56562424,45.70859528,1,90.63999939,72.35852051,391345,3028.00708,0,1675.326782,1601.7771,10783.97656,372.7074585,0,8237.99707,11271.08691,9559.326172,6891.98584,45.83412933,43.83872223,45.76844406,51.89006805,53.82722855,64.46178436,74.48471832,49.88419724,53.17220306,52.97173309,54.61380768,13
60,60,46.11939621,52.76543808,45.86544037,1,90.63999939,72.33692169,385466,3346.895996,0,1680.386841,1554.217041,10777.09668,287.26828,0,8412.223633,11230.6543,9399.854492,6870.801758,46.0241394,43.89870453,45.75644684,50.87000275,53.81522751,64.71779633,74.50271606,48.11474228,53.1101799,52.81773376,54.63180161,14
61,61,23.13497162,52.79999924,45.81710434,1,90.62014771,72.31533051,389068,3392.349609,0,1677.821045,1536.906372,10763.69531,317.4863586,0,8597.470703,11185.95801,9265.257813,6893.994141,46.36188889,44.11357117,45.74167633,50.52122498,53.81677246,64.84398651,74.46952057,47.83158493,53.08924103,52.42886734,54.60623169,15
62,62,0.150550023,52.71704483,45.63408279,1,90.59013367,72.31199646,386224,3382.055908,0,1673.298584,1529.857056,10745.2627,380.382782,0,8802.089844,11133.01367,9181.191406,6989.406738,46.85004425,44.41366577,45.72368622,51.13129044,53.82876587,64.80796814,74.40151978,48.87575912,53.10723877,51.80063248,54.54421234,16
63,63,26.84417343,52.70000076,45.68287659,1,90.56011963,72.31199646,391504,3371.762451,0,1668.776245,1522.807739,10726.8291,443.2791748,0,9006.708008,11080.06934,9097.125,7084.819336,47.33819962,44.71376038,45.70569229,51.7413559,53.84076309,64.77194977,74.33351135,49.91993332,53.12523651,51.17239761,54.48218918,17
64,64,20.70259476,52.78290176,45.70000076,1,90.53010559,72.31199646,396852,3361.468994,0,1664.253784,1515.758423,10708.39551,506.1755981,0,9211.327148,11027.12598,9013.058594,7180.231934,47.82635117,45.01385498,45.68769836,52.35142136,53.8527565,64.7359314,74.26551056,50.96410751,53.14323044,50.54416275,54.42016602,18
65,65,14.36866379,52.88280869,45.86561584,1,90.50009155,72.31199646,396801,3351.175293,0,1659.731445,1508.709106,10689.96289,569.0720215,0,9415.945313,10974.18164,8928.992188,7275.64502,48.31450653,45.31394958,45.66970444,52.961483,53.86475372,64.69991302,74.19750977,52.00828171,53.16122818,49.91592789,54.35814285,19
66,66,8.034731865,52.90000153,45.98293304,1,90.48999786,72.31199646,396602,3226.091553,0,1666.769775,1540.312256,10672.75195,971.402832,0,9543.994141,10941.91602,8791.34668,7347.876953,48.53913498,45.47819519,45.65999985,53.2746315,53.88125229,63.96745682,74.1890564,52.37086105,53.18230438,49.93001938,54.28629303,20
67,67,38.32896042,52.90000153,46.16593552,1,90.48999786,72.29708862,396858,3077.568848,0,1676.806519,1585.06189,10656.49023,1469.035156,0,9538.234375,10948.59668,8544.755859,7382.390137,48.49715805,45.56819534,45.65999985,53.16460037,53.90125275,62.37410736,74.22106171,52.12678146,53.20631027,50.59388351,54.20627975,21
68,68,68.82514954,53.065979,46.2829895,1,90.48999786,72.27949524,397118,2929.045898,0,1686.843262,1629.811646,10640.22949,1966.667358,0,9532.475586,10955.27637,8298.166016,7416.90332,48.45518112,45.6581955,45.65999985,53.05457306,53.92125702,60.78076172,74.25306702,51.88270187,53.23031616,51.25775146,54.12626648,22
69,69,46.1278038,53.2659874,46.38299561,1,90.48999786,72.26190186,397378,2780.522949,0,1696.880005,1674.561279,10623.96777,2464.299561,0,9526.71582,10961.95703,8051.575195,7451.416504,48.41320419,45.74819565,45.65999985,52.94454193,53.94125748,59.18741608,74.28507233,51.6386261,53.25432205,51.92161942,54.0462532,23
70,70,23.12371445,53.29999924,46.19272995,1,90.48999786,72.24430084,397638,2632,0,1706.916748,1719.311035,10607.70703,2961.931885,0,9520.957031,10968.63672,7804.984375,7485.929688,48.37122726,45.8381958,45.65999985,52.83451462,53.96125793,57.59406662,74.31707764,51.39454651,53.27832794,52.58548737,53.96623993,24
71,71,0.119625755,53.29999924,45.94298553,1,90.52314758,72.22670746,397898,2490.292236,0,1761.125488,1733.229126,10638.08691,3122.986084,0,9295.152344,10961.92871,7551.122559,7540.613281,48.27383804,45.76783752,45.66833878,52.69968033,53.96549988,57.18284988,74.36934662,51.72980118,53.31877136,53.05690002,53.93437576,25
72,72,22.86896133,53.29999924,45.81703949,0,90.57314301,72.22399902,395121,2349.988281,0,1826.62439,1736.720581,10704.68066,3188.831299,0,8683.624023,10930.01172,7282.408203,7628.255371,48.11975479,45.60985184,45.68633652,52.52968597,53.95750046,58.24508286,74.43534088,52.57736588,53.37476349,53.33284378,53.94237518,0
73,73,8.069825172,53.29999924,45.88282394,0,90.62313843,72.22399902,392323,2209.684326,0,1892.123291,1740.212036,10771.27441,3254.676514,0,8072.095703,10898.09473,7013.694336,7715.897461,47.96567535,45.45186996,45.70433044,52.35969543,53.94950104,59.30731201,74.50133514,53.42493057,53.43075943,53.60878754,53.9503746,0
74,74,4.025886536,53.29999924,45.98283386,0,90.67313385,72.22399902,393193,2069.380371,0,1957.622192,1743.703491,10837.86816,3320.521729,0,7460.567383,10866.17871,6744.97998,7803.539063,47.81159592,45.29388428,45.72232819,52.18970108,53.94150162,60.36954117,74.56732941,54.27249908,53.48675537,53.88473511,53.95837021,0
75,75,33.71387863,53.29999924,46,1,90.72312927,72.22399902,389147,1929.076538,0,2023.121094,1747.194946,10904.46191,3386.366699,0,6849.039063,10834.26172,6476.265625,7891.181152,47.65751648,45.13589859,45.74032593,52.01970673,53.9335022,61.43177414,74.63332367,55.12006378,53.5427475,54.16067886,53.96636963,1
76,76,102.5902405,53.29999924,46,1,90.73999786,72.22399902,389993,1872.78479,0,1988.093018,1728.165771,10953.16797,3379.351563,0,6634.782227,10830.2041,6361.351074,7930.398926,47.5859642,44.89134598,45.73335266,51.96298981,53.92324829,62.17796707,74.67073059,55.5717659,53.59462738,54.50895309,53.95907974,2
77,77,163.6865997,53.29999924,46,1,90.73999786,72.20943451,386924,1833.922485,0,1927.21167,1701.490234,10987.95898,3351.700195,0,7119.174805,10878.71484,6562.015137,7890.758789,47.59796143,44.59938812,45.69735336,52.06696701,53.91124344,62.53197098,74.68872833,55.66978073,53.64260483,54.93097687,53.9390831,3
78,78,11.94000244,53.29999924,46.08297729,1,90.73999786,72.19223785,387694,1795.060059,0,1866.330444,1674.814819,11022.75,3324.048828,0,7603.567871,10927.22461,6762.679199,7851.118652,47.60996246,44.30743408,45.66135025,52.17094803,53.89923859,62.88597107,74.7067337,55.76779556,53.69058609,55.35300446,53.91908646,4
79,79,11,53.29999924,46.18278885,1,90.73999786,72.1750412,386574,1756.197754,0,1805.449097,1648.139282,11057.54199,3296.397461,0,8087.960449,10975.73535,6963.343262,7811.478516,47.62195969,44.01547623,45.62534714,52.27492905,53.88723755,63.23997498,74.72473907,55.86581421,53.73856354,55.77503204,53.89908981,5
80,80,11,53.34139252,46.28278732,1,90.73999786,72.15783691,385441,1717.335327,0,1744.567871,1621.463745,11092.33301,3268.74585,0,8572.353516,11024.24512,7164.007813,7771.838379,47.63395691,43.72352219,45.58934402,52.37890625,53.8752327,63.59397888,74.74274445,55.96382904,53.78654099,56.19705963,53.87909317,6
81,81,4.037559986,53.39142227,46.38284302,1,90.7638855,72.14064026,384307,1663.336548,0,1716.202637,1620.660889,11113.12891,3250.313477,0,8738.555664,11066.22363,7291.216797,7691.70166,47.62213135,43.57998657,45.5672226,52.44742584,53.8666153,63.83106232,74.76432037,55.72218704,53.82635498,56.04919052,53.85363388,7
